feature,importance
site_id,15.60836124420166
floor_count,12.318961143493652
square_feet,10.66047191619873
floor_count_missing,10.639749526977539
air_temperature,10.132098197937012
building_id,8.455693244934082
age_missing,6.820108413696289
age,6.351030349731445
primary_use,5.531852722167969
year_built,4.609886169433594
dew_temperature,4.3966851234436035
dayofyear_datetime,2.419672727584839
month_datetime,2.259319305419922
year_built_missing,2.121753692626953
hour_datetime,2.071225643157959
precip_depth_1_hr_missing,2.022446393966675
weekofyear_datetime,1.7129560708999634
day_week,1.0476621389389038
day_month_datetime,0.7857012748718262
precip_depth_1_hr,0.7366840243339539
week_month_datetime,0.5010201334953308
sea_level_pressure,0.4670499265193939
beaufort_scale_missing,0.4589805603027344
cloud_coverage,0.4172790050506592
sea_level_pressure_missing,0.35254696011543274
wind_direction_missing,0.30728960037231445
wind_direction,0.27644801139831543
wind_speed,0.2691008448600769
cloud_coverage_missing,0.26624009013175964
air_temperature_missing,0.2023901492357254
beaufort_scale,0.16537906229496002
dew_temperature_missing,0.07927075028419495
wind_speed_missing,0.0
meter,0.0
