epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.0700911609775901,0.2741318061592205,0.003913324087608744,0.024793834388540142,0.1498934568507842,0.30919733217951395,-3.682753157364524,150.8431474331352,0.3871607635734595,0.274104514748169,0.27768310171930327,0.4381939651417582,0.04858040535181822,417885,211,211
2,0.0404362026851061,0.16841426930307948,0.001928609570444768,0.009653763320959238,0.12791317481188405,0.28587702726630526,-2.99607718577835,151.60160514277635,0.3576495139265312,0.2593737873702994,0.2627679288462035,0.4267640436389913,0.04281672479169891,417885,211,211
3,0.03924503780930923,0.1628566485220214,0.0018551825713155026,0.009877807674997848,0.11231408498826992,0.283213301232552,-2.5087531313584277,197.9633292349139,0.3351329362928537,0.2795533140692643,0.2799921955418189,0.292979501124624,0.00032940952768327415,417885,211,211
4,0.03816247754458541,0.1581961835613675,0.0018411044670448035,0.009470103977797845,0.13893644202092117,0.29994239715986587,-3.340450051759934,161.27753003034343,0.3727417900114249,0.2723099152391461,0.2740692217027141,0.40782903934491715,0.04233324137709305,417885,211,211
5,0.03795469928420526,0.15670663744461397,0.0018511933507361475,0.009703281484265523,0.11177829464494064,0.2823582242861417,-2.4920147494795692,196.95695300058034,0.3343326108008919,0.27881206239843803,0.2794761435678732,0.2937889111197092,0.0008456619347151279,417885,211,211
6,0.037368413619804225,0.15441108240421242,0.0018352507949630124,0.009385649836117858,0.10815372862583836,0.27801817688241803,-2.3787813347153506,191.6433971407928,0.3288673419873709,0.2731573856166952,0.27883805952476026,0.2940866942333668,0.0034248368961497023,417885,211,211
7,0.03692256989694226,0.1522546016979495,0.0018359120089802793,0.009332749663233966,0.1540193386568412,0.31059770687721927,-3.8116479501069405,150.65121621105118,0.3924529763638457,0.27635650895970276,0.27866918109214456,0.43622235624581407,0.05035239798287556,417885,211,211
8,0.036692351327151436,0.15119981126346685,0.0018471853636383257,0.009193392588474705,0.11229511541797775,0.2831750331920075,-2.5081605116601047,197.7543788600779,0.3351046335370159,0.27950511882074935,0.2800065186447238,0.2928880643166357,0.0004130840842560948,417885,211,211
9,0.0362354755952118,0.14923789591672484,0.0018407562790200744,0.00902127733381939,0.11039506624301032,0.27990368392968645,-2.4488019415119506,195.17678433233334,0.3322575300019705,0.2769736985814854,0.2781867935064131,0.29525323170503387,0.001223361097322036,417885,211,211
