epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.06355159764123416,0.22324947025373765,0.005670759691093201,0.025200610445052698,0.08310948057136683,0.20941629724267796,-0.6826401439114285,113.76858902658186,0.28828714950785933,0.21258470696455561,0.2131438830244349,0.6618188664148634,0.09518049898773047,126372,0,0
2,0.05096165422590185,0.1770646511521927,0.0044764127790860135,0.021986325272296353,0.14394752822824045,0.29669714671577413,-1.9143713562939606,126.046540802135,0.3794041752909955,0.25831231368981866,0.2587192512446605,0.6485009902342416,0.11607245758560672,126372,0,0
3,0.04877551169966498,0.16959063909494984,0.004217956515505354,0.021404900150203056,0.056660800662735086,0.1647683404137308,-0.1471583882588734,114.62506892627744,0.2380352928931655,0.18632846000902992,0.18728693893582946,0.6421612523870662,0.05836918549970729,126372,0,0
4,0.04750736972744743,0.16512735834756676,0.00409677321451766,0.020961169191677127,0.06149086625273939,0.16455210581102037,-0.24494822166407104,120.26028469796182,0.2479735192570759,0.19558469954556543,0.19650644965585787,0.612770035376036,0.04689833960723662,126372,0,0
5,0.04649799321893344,0.16160492491598166,0.004054367527712657,0.020227574819060522,0.06701006458412165,0.19192694291783333,-0.356690282987846,96.66603317784197,0.25886302282118556,0.1897995723272574,0.1928619657089768,0.7160769420325568,0.1417558244612704,126372,0,0
6,0.045766325503634846,0.1588233979949037,0.004001010501426866,0.019998747198543415,0.057226013483380356,0.16235976911437677,-0.1586017251120555,124.66665453634427,0.23921959259931105,0.19196048142150177,0.19317359123106398,0.6073877681205645,0.028995229940399034,126372,0,0
