epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.048528836367247176,0.20160509232110327,0.002391184878571235,0.01141815744210079,0.06442065699704501,0.20569553868863316,-1.0125363794412436,140.11331406973972,0.25381224753160553,0.20849983656489365,0.20951654403901257,0.45297277246626105,0.02362316939466192,417885,211,211
2,0.03530016917370445,0.1482576317025095,0.0018076729095520081,0.006777654509170425,0.032946115666249734,0.13707047507548778,-0.029254581223040255,85.98986593238666,0.18151064890592433,0.1450519191280266,0.14516774148384515,0.590193405783754,0.06633691569948673,417885,211,211
3,0.03171469668100377,0.13245261178095544,0.0016680970460289158,0.006293265731175039,0.11883845632103889,0.25752702760370993,-2.712578042066547,93.10293090710691,0.34472954083025564,0.22832592915308905,0.2284234139104692,0.6119137500799796,0.1290491722896565,417885,211,211
4,0.029810627746660916,0.12413456035044151,0.0015624029619877484,0.0061963642349615175,0.03776925602185226,0.1360510093352606,-0.17993211047032043,76.92331085633845,0.1943431398888375,0.14820275538575198,0.148396925952668,0.6423644426004201,0.08858418072083551,417885,211,211
5,0.028485197521607053,0.11827666065288883,0.0015133020198155403,0.006010869531335041,0.07835396887254596,0.2118289474854851,-1.447820624319911,84.03216920713062,0.2799177894892462,0.19647517005303103,0.1965370494146733,0.613224261248059,0.15722009718975527,417885,211,211
