epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.0030030639698422432,0.0,0.0030030639698422432,0.0,0.08235161964948674,0.23248599969839112,-1.5727094099351198,82.09897417500207,0.28696971904625534,0.20523602570641833,0.20523602570641833,0.0,0.24598454441910986,417885,211,211
2,0.0015910495928618813,0.0,0.0015910495928618813,0.0,0.020390294354388935,0.09886143995687224,0.36299610887846934,63.17837131591063,0.14279458797303535,0.11713198750886059,0.11713198750886059,0.0,0.1515115940006876,417885,211,211
3,0.0014033491556099155,0.0,0.0014033491556099155,0.0,0.048130368987273645,0.161085704236663,-0.5036189175664878,107.0155983722982,0.2193863464012144,0.17262120230571534,0.17262120230571534,0.0,0.05893523496319077,417885,211,211
4,0.0013501505519435452,0.0,0.0013501505519435452,0.0,0.028563643711366004,0.11892749641410594,0.10765622739365954,66.61735059544168,0.169007821450269,0.13557733384100168,0.13557733384100168,0.0,0.17482635055159332,417885,211,211
5,0.001301125767742522,0.0,0.001301125767742522,0.0,0.06210910196318982,0.1978134669655847,-0.9403221423382675,84.64426168700079,0.2492169776784676,0.18499240817506674,0.18499240817506674,0.0,0.16928718536263276,417885,211,211
