epoch,train_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.007218979146603889,0.1052753979010046,0.24713555146970217,-1.1314127997992611,137.62951808504903,0.3244617048297142,126372,0,0
2,0.0057230955138246374,0.09076964854147401,0.2319485143664592,-0.8377284208082947,133.6036074490012,0.3012800168306455,126372,0,0
3,0.005424979169050895,0.1573808750073721,0.3163423768913444,-2.1863438003792104,164.47057053565467,0.396712584886555,126372,0,0
4,0.005256162222089595,0.07329809226745404,0.21718792033177944,-0.48399811517813274,119.61779101500589,0.27073620420522637,126372,0,0
5,0.00517345094838862,0.08890989522473548,0.2284090123246993,-0.800075729839669,133.40831618235723,0.2981776236150786,126372,0,0
6,0.005073472257148015,0.03865168265409265,0.1501577953264775,0.21745542847360733,90.54228791349993,0.19660031193793323,126372,0,0
7,0.00500505325467861,0.04722433589633616,0.15966732676166764,0.04389291327000444,114.09460961345079,0.21731161012779818,126372,0,0
8,0.0049530044971624575,0.045691099286303036,0.15513248076381694,0.07493492499261456,103.72630810097078,0.2137547643593074,126372,0,0
9,0.004899860695336385,0.05782730156098083,0.1630878832203249,-0.1707754440484539,118.29565495545447,0.24047307866158496,126372,0,0
