epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.10404793053013286,0.42744144716642035,0.005540836140816428,0.02492655664292146,0.151521209897663,0.3089804645172346,-6.730061441909347,142.54650074318658,0.3892572541362113,0.269092377865978,0.2748211603793872,0.23319763193605636,0.02462062130618373,271599,0,0
2,0.08223182435947166,0.347206622158644,0.0041707326084552705,0.014830111442369799,0.37483045084819094,0.44479808821940786,-18.12248732248136,84.47733516623693,0.6122339837416664,0.34727591890695786,0.34812880309689914,0.44661564348911686,0.2343511493812258,271599,0,0
3,0.0804225166204058,0.33955486144980934,0.004011109467632746,0.014964413234036258,0.188069237604396,0.28341280957919884,-8.594608985744719,83.82104905376553,0.4336695027372757,0.25982617666560226,0.262863179675142,0.382445765921398,0.140325013427081,271599,0,0
4,0.0792517819990607,0.3346600780881848,0.003917751704267501,0.014947538990258556,0.6358042162066221,0.6504057061586824,-31.43642035079874,102.83106057813542,0.7973733229840475,0.4520498912148654,0.452810915851117,0.28093201592685446,0.6281965464462228,271599,0,0
