epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.007280773038651827,0.0,0.007280773038651827,0.0,0.09070305872431961,0.23344786515672492,-0.8363802388830868,153.20243863472157,0.30116948504840196,0.2390990241559587,0.2390990241559587,0.0,0.019743919332004162,126372,0,0
2,0.005615369217100335,0.0,0.005615369217100335,0.0,0.0503380135236979,0.1551083473079958,-0.019146813786150352,116.49748389493723,0.22436134587690879,0.17777477717233423,0.17777477717233423,0.0,0.034832253273353125,126372,0,0
3,0.005291661889351448,0.0,0.005291661889351448,0.0,0.04218530131276181,0.13570703476467405,0.14591354700022385,100.3686648124136,0.20539060668093323,0.16253969485918923,0.16253969485918923,0.0,0.06043791572614919,126372,0,0
4,0.00511704165720447,0.0,0.00511704165720447,0.0,0.051132199129397156,0.150000077759149,-0.03522594907467691,117.90737550347158,0.22612430017447738,0.18081219054404385,0.18081219054404385,0.0,0.03673061767445607,126372,0,0
5,0.005010465519230567,0.0,0.005010465519230567,0.0,0.046660023744410195,0.14478772554739724,0.05531801512360457,113.24118247435358,0.2160093140223592,0.17273819296304857,0.17273819296304857,0.0,0.04339423311276324,126372,0,0
6,0.004947647732347374,0.0,0.004947647732347374,0.0,0.07147896089288568,0.18832401389986117,-0.4471678587879604,124.35638790532933,0.267355495348208,0.20370349193380735,0.20370349193380735,0.0,0.04290942684700334,126372,0,0
