epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.07627167352091196,0.3213517396179783,0.0035398492400619823,0.01640541977168269,0.07369827436196359,0.21268584793727324,-2.7598181097249648,90.73030205077391,0.2714742609566579,0.18995517080551072,0.19027995567984465,0.48424315481315644,0.036587307852499494,271599,0,0
2,0.06034218112550623,0.2551984202528038,0.0027899692676126137,0.012408525437900017,0.027226872431778508,0.1150116565131589,-0.3890160784145229,72.51082285961279,0.16500567393813617,0.1366067948675436,0.13693099788076982,0.47695057384696665,0.023863157423745816,271599,0,0
3,0.057060086450507023,0.24134087128359558,0.0026113453867953177,0.01189740145599997,0.036813108484847756,0.13645290849686217,-0.8780710017280329,80.77789631698833,0.19186742424092673,0.15088140073162234,0.15120020434957201,0.4192291460147026,0.03674737772067972,271599,0,0
4,0.05488614430540826,0.23220130599805602,0.0025208237159104747,0.011347448920255297,0.05498004203210395,0.18725407188009274,-1.8048819255994935,81.14663968152917,0.23447823359984601,0.17024478748834773,0.17056872286016667,0.48036487322201604,0.050892557077762045,271599,0,0
5,0.053194450317921686,0.22526081375494617,0.002442097899532527,0.010860302730270862,0.019192693046594794,0.09117975827751745,0.020858554481669844,51.60399239103397,0.13853769539946445,0.11249360097415355,0.1128008176005959,0.5072346010812838,0.08431553553265946,271599,0,0
6,0.05204303426777893,0.22017071915283074,0.002407170264344075,0.010648496830372868,0.028796554449491207,0.11666607660593761,-0.4690955501226388,68.62109350113744,0.16969547563058718,0.13485568969260944,0.1351698947882517,0.49685610060478064,0.029428042095177305,271599,0,0
7,0.05110304793824306,0.21632569515978123,0.002357636055892165,0.010408786687049854,0.024895027176918636,0.10758393471842417,-0.2700538083450994,63.37704735433155,0.15778158060090106,0.12517896606720547,0.1255909789371998,0.5054759021239468,0.061496413259706825,271599,0,0
8,0.050012157671848995,0.21148974632103135,0.00233528216372208,0.010145477534845416,0.028575588083187376,0.12030882143865519,-0.45782264919162263,69.39489100509235,0.16904315449963472,0.13835485487353985,0.13868438706957184,0.43785584351154044,0.045954645516616835,271599,0,0
