epoch,train_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.00295484978063983,inf,4.923195082085928e+35,-inf,165.9791335932114,inf,39.024632407391884,1208473,0,0
2,0.0006819821679610286,inf,1.5705060197266394e+30,-inf,155.7780298871571,inf,35.65183171450032,1208473,0,0
3,0.0006262215278313736,0.062388525243024934,0.16953304321585044,-1.140641017568068,43.92019636223746,0.24977695098432307,0.15612999462322863,1208473,0,0
4,0.0006572577315011764,1525592128.8772588,8820.170801344118,-52345284238.88932,105.56556070584536,39058.829077140275,4.0565066032951815,1208473,0,0
5,0.0006108625439534936,0.13179760103371724,0.26891968461603305,-3.5221673327081744,76.30601700270677,0.3630393932257452,0.21652273572352437,1208473,0,0
6,0.0006062899163872704,3653756.7764245356,607.0916212093172,-125365706.77021334,113.29133340108642,1911.4802579217333,3.542425452915861,1208473,0,0
