epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.07290969107766261,0.3048193211763969,0.003608643055716848,0.015761798198234304,0.09734775615813125,0.2361073478411755,-3.966328719540999,96.5642211657184,0.3120060194261182,0.21894092187975936,0.21960870333719193,0.38653092907681186,0.050963478542294376,271599,0,0
2,0.05894874881555272,0.24867340625760279,0.0027551162572868847,0.012346113449559763,0.04211594864714981,0.15684158867350645,-1.1486026342229478,90.39621963816904,0.20522170608186116,0.1677058562398607,0.16859948358707727,0.37798398746419215,0.02750615904369595,271599,0,0
3,0.055741208689363796,0.23542233052999695,0.0026029141291854362,0.011503044659742818,0.041427516976771,0.1581006006241535,-1.1134813524289422,102.63011976334633,0.20353750754288755,0.16997908066073564,0.17143269544635814,0.31854471268276097,0.021405172930802324,271599,0,0
4,0.053662591106533396,0.22663017831754106,0.0025119810488182905,0.011041974685014921,0.04534606164085097,0.15985744288433704,-1.313391259673363,108.81331382086883,0.21294614727872155,0.17911642571132447,0.18009491006825826,0.3009184293087744,0.01999073966644865,271599,0,0
5,0.05207913923862002,0.2198403619665304,0.0024521473359148706,0.010689238099961307,0.10403935963400514,0.24434744279508794,-4.307710008987772,81.45944743215851,0.3225513286811963,0.21994600143520454,0.22162038681257967,0.45348302644632094,0.1236812875896358,271599,0,0
6,0.050816088773146154,0.21440290397185036,0.0024027899760967553,0.010433090412865116,0.07205781076462021,0.2003719000647272,-2.6761276190719103,79.5821145691579,0.2684358596846185,0.18786344754004172,0.18969067157712796,0.47485033767229806,0.048245290924500264,271599,0,0
