epoch,train_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.001452432091593082,0.05881385026585269,0.17484854786796336,-1.0179887213196546,65.88979199198194,0.2425156701449469,0.16873668105743336,1208473,0,0
2,0.0006501121699088748,0.06438959402426778,0.19488574553076363,-1.2093005971208366,75.54424766981242,0.2537510473362973,0.16576332876909752,1208473,0,0
3,0.0005834256610744695,0.011271171804174408,0.05824151552235685,0.6132697064710647,20.830289236874535,0.10616577510749124,0.07937899172964241,1208473,0,0
4,0.0005478147062617771,0.015382453322939383,0.0846580512936509,0.4722056595240377,33.471971147217396,0.12402601873372934,0.09535192804624924,1208473,0,0
5,0.000527008766253212,0.027586574162407524,0.12218773004430758,0.053464528032978964,30.372674657064742,0.16609206532043463,0.11298665231200919,1208473,0,0
6,0.0005115855540627985,0.026742942576472688,0.11444617836848746,0.08241075443492474,42.348874462817854,0.1635326957414715,0.11359408448655589,1208473,0,0
