epoch,train_loss,train_zero_classification_loss,train_positive_regression_loss,train_zero_suppression_loss,validation_mse,validation_mae,validation_r2,validation_smape,validation_rmse,validation_rmsle,validation_thresholded_rmsle,validation_zero_f1,validation_mean_prediction_on_zero,validation_evaluated_row_count,validation_skipped_row_count,validation_unknown_node_row_count
1,0.003571460663937998,0.0,0.003571460663937998,0.0,0.02354401390428158,0.10653766211787898,-0.20113002128338753,61.447523156463944,0.15344058753889592,0.12545695399910728,0.12545695399910728,0.0,0.06781687859690246,271599,0,0
2,0.0024619789380266465,0.0,0.0024619789380266465,0.0,0.07870715780659765,0.20435807342669177,-3.015353138837619,78.7504514082475,0.2805479599045369,0.18933775148211276,0.18933775148211276,0.0,0.06273048097129742,271599,0,0
3,0.002272022164072215,0.0,0.002272022164072215,0.0,0.04631391842356773,0.1566016749387539,-1.3627677951592023,86.88422024018188,0.21520668768318454,0.16405263522236335,0.16405263522236335,0.0,0.05520075650585181,271599,0,0
4,0.0021548910950550783,0.0,0.0021548910950550783,0.0,0.07996956037464964,0.20474336623289113,-3.079756329797201,89.94447451057181,0.2827888971912611,0.19557575197572374,0.19557575197572374,0.0,0.039879494841024384,271599,0,0
